pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---s	4487	210	39	33	96	101	539	86	144	27	9	7	2
h---w	4803	777	403	336	317	325	819	548	696	295	103	49	31
s---h	6199	39	6	5	20	40	132	119	42	5	2	2	14
s---s	3366	95	33	16	38	374	661	408	120	11	8	7	87
s---w	1188	78	30	45	41	123	239	148	97	17	16	8	42
w---h	7507	81	27	77	68	181	412	214	60	12	5	1	12
w---s	1708	62	39	31	41	183	403	264	86	27	10	11	52
w---w	1871	162	76	120	159	263	513	227	147	62	39	28	84

average trip duration: 553.8984459216673 seconds = 00:09:13
